url,post_nummer,latitude,longitude,boligtype,boligstorrelse,grundstorrelse,vaerelser,etage,byggeår,om_byggeår,skatter,boligareal_tinglyst,toiletter,badevaerelser,pris,salgsmaned,salgsar
https://www.boliga.dk/bolig/1843090/nyelandsvej_73__3_1_2000_frederiksberg,"Nyelandsvej 73, 3. 1 2000 Frederiksberg",55.6794,12.5346,Ejerlejlighed,80,0,3,3,1957,0,1301,68,1,1,4600000,11,2021
https://www.boliga.dk/bolig/1843119/jaegersborg_alle_39_5_2920_charlottenlund,"Jægersborg Alle 39, 5. 2920 Charlottenlund",55.7605493,12.5513016,Ejerlejlighed,76,0,3,5,1932,1995,1048,69,1,1,4750000,11,2021
https://www.boliga.dk/bolig/1843290/ingrid_marievej_66_9_1_2500_valby,"Ingrid Marievej 66, 9. 1 2500 Valby",55.6581,12.5241,Ejerlejlighed,94,0,3,9,2021,,0,84,1,1,4895000,11,2021
https://www.boliga.dk/bolig/1843191/strandlodsvej_25k_1_tv_2300_koebenhavn_s,"Strandlodsvej 25K, 1. tv 2300 København S",55.6759,12.5655,Ejerlejlighed,94,0,3,1,2016,0,2170,84,1,1,5295000,11,2021
https://www.boliga.dk/bolig/1843182/annasvej_4a_1_mf_2900_hellerup,"Annasvej 4A, 1. mf 2900 Hellerup",55.732,12.5709,Ejerlejlighed,99,0,3,1,1994,0,2338,88,1,1,5495000,11,2021
https://www.boliga.dk/bolig/1842989/amalievej_9b_1875_frederiksberg_c,Amalievej 9B 1875 Frederiksberg C,55.679231,12.544874,Ejerlejlighed,69,0,2,2,1867,2000,1823,80,1,1,6600000,11,2021
https://www.boliga.dk/bolig/1843164/marstalsgade_8_4_tv_2100_koebenhavn_oe,"Marstalsgade 8, 4. tv 2100 København Ø",55.6759,12.5655,Ejerlejlighed,101,0,4,4,1899,0,1594,93,1,1,7450000,11,2021
https://www.boliga.dk/bolig/1842966/leen_a_2_1_-1_2630_taastrup,"Leen A 2, 1. 1 2630 Taastrup",55.6517,12.2922,Ejerlejlighed,57,0,2,1,1972,0,588,67,1,1,610000,11,2021
https://www.boliga.dk/bolig/1842782/klokkedybet_3_st_c_2730_herlev,"Klokkedybet 3, st. c 2730 Herlev",55.717498,12.457064,Ejerlejlighed,36,0,1,0,1969,0,445,33,1,1,999000,11,2021
https://www.boliga.dk/bolig/1842790/brinchs_have_3_st_mf_2630_taastrup,"Brinchs Have 3, st. mf 2630 Taastrup",55.646028,12.299776,Ejerlejlighed,36,0,1,0,1963,0,348,31,1,1,1395000,11,2021
https://www.boliga.dk/bolig/1842861/roedovre_parkvej_309_st_2610_roedovre,"Rødovre Parkvej 309, st. 2610 Rødovre",55.68019,12.449584,Ejerlejlighed,50,0,1,0,1974,0,570,44,1,1,1595000,11,2021
https://www.boliga.dk/bolig/1842875/soeborg_hovedgade_60_3_doerlejl_3_2860_soeborg,"Søborg Hovedgade 60, 3. 3 2860 Søborg",55.732979,12.517116,Ejerlejlighed,47,0,2,3,1959,0,495,43,1,1,1650000,11,2021
https://www.boliga.dk/bolig/1842795/akacieparken_11b_1_54_2680_solroed_strand,"Akacieparken 11B, 1. 54 2680 Solrød Strand",55.5329,12.2223,Ejerlejlighed,54,0,2,1,1975,0,856,48,1,1,1750000,11,2021
https://www.boliga.dk/bolig/1842837/ericavej_147_st_2_2820_gentofte,"Ericavej 147, st. 2 2820 Gentofte",55.749,12.546,Ejerlejlighed,61,0,2,0,1968,0,751,53,1,1,1895000,11,2021
https://www.boliga.dk/bolig/1823499/matthaeusgade_48a__2_204_1666_koebenhavn_v,"Matthæusgade 48A, 2. 204 1666 København V",55.6759,12.5655,Ejerlejlighed,70,0,2,2,1970,1992,1023,54,1,1,3895000,11,2021
https://www.boliga.dk/bolig/1809237/frimestervej_9__st_tv_2400_koebenhavn_nv,"Frimestervej 9, st. tv 2400 København NV",55.6759,12.5655,Ejerlejlighed,48,0,2,0,1935,0,785,44,1,1,2095000,11,2021
